Feature,value
Perceived Bitterness,Medium-low to medium-high
Fermentation Characteristics,Low to medium fruity esters are present. Yeast-derived phenolic spicy ﬂavors and aromas should be present at low to medium-low levels. Diacetyl is usually absent in these beers but may be present at very low levels.
Body,Very low to medium
Additional notes,These beers are often brewed with light-colored Belgian candy sugar. Herbs and spices are sometimes used to delicately ﬂavor these strong ales. These beers can be malty in overall impression or dry and highly attenuated. They can have a deceptively high alcohol character and a relatively light body for beers of high alcoholic strength. Some versions may be equally high in alcohol with a more medium in body.
Original Gravity (°Plato),1.064-1.096 (15.7-22.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.024 (2-6.1 °Plato)
Alcohol by Weight (Volume),5.60%-8.80% (7.10%-11.20%)
Bitterness (IBU),20-50
Color SRM (EBC),2-7(4-14 EBC)
Category,Belgian-Style Strong Dark Ale
Color,Amber to very dark
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Medium to high malt aroma and complex fruity aromas are distinctive. Medium to high malt intensity can be rich, creamy, and sweet. Fruity complexity along with soft roasted malt ﬂavor adds distinct character."
Perceived Hop Aroma & Flavor,Low to medium
Perceived Bitterness,Low to medium
Fermentation Characteristics,Yeast-derived phenolic spicy ﬂavors and aromas are present at low to medium-low levels. Diacetyl is usually absent in these beers but may be present at very low levels.
Body,Medium to full
Additional notes,These beers are often (though not always) brewed with dark Belgian candy sugar. Herbs and spices are sometimes used to delicately ﬂavor these strong ales. These beers are typically well attenuated with a deceptive alcoholic strength.
Original Gravity (°Plato),1.064-1.096 (15.7-22.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.024 (3.1-6.1 °Plato)
Alcohol by Weight (Volume),5.60%-8.80% (7.10%-11.20%)
Bitterness (IBU),20-50
Color SRM (EBC),8-35(16-70 EBC)
Category,Belgian-Style Dubbel
Color,Brown to very dark
Clarity,Chill haze is acceptable at low temperatures. Slight yeast haze may be present in bottle conditioned versions.
Perceived Malt Aroma & Flavor,"Any of cocoa, dark or dried fruit, or caramel aroma attributes should be present along with malty sweetness."
Perceived Hop Aroma & Flavor,"Absent, or low if present."
Perceived Bitterness,Medium-low to medium
Fermentation Characteristics,Fruity esters (especially banana) are absent or present at low levels. Clove-like phenolic flavor and aroma may be present at low to medium-low levels. Diacetyl character should not be present.
Body,Low to medium
Additional notes,"Head should be dense and mousse-like. Herbs or spices such as coriander or others may be used in subtle amounts to enhance overall aroma or flavor, or may be absent."
Original Gravity (°Plato),1.06-1.075 (14.7-18.2 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.016 (3.1-4.1 °Plato)
Alcohol by Weight (Volume),5.00%-6.00% (6.30%-7.60%)
Bitterness (IBU),20-35
Color SRM (EBC),16-36(32-72 EBC)
Category,Belgian-Style Tripel
Color,Pale to pale gold
Clarity,"Chill haze is acceptable at low temperatures. Traditional Tripels are bottle conditioned and may exhibit slight yeast haze. However, yeast should not be intentionally roused."
Perceived Malt Aroma & Flavor,Low sweetness from very pale malts should be present. There should be no roasted or dark malt character.
Perceived Hop Aroma & Flavor,"Absent, or low if present."
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"A complex, sometimes mildly spicy, aroma and ﬂavor characterize this style. Clove-like phenolic aroma and ﬂavor may be very low. Fruity esters, including banana, are also common, but not required. Traditional Tripels are often well attenuated. Alcohol strength and ﬂavor should be present."
Body,Medium
Additional notes,"Head should be dense and mousse-like. Herbs or spices such as coriander or others may be used in subtle amounts to enhance overall aroma or flavor, or may be absent. Brewing sugar may be used to lighten the body. Hop/malt character should be balanced. The overall beer ﬂavor may ﬁnish sweet, though any sweet ﬁnish should be light."
Original Gravity (°Plato),1.07-1.092 (17.1-22 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.014 (2.1-3.5 °Plato)
Alcohol by Weight (Volume),5.60%-8.00% (7.10%-10.10%)
Bitterness (IBU),20-45
Color SRM (EBC),4-7(8-14 EBC)
Category,Belgian-Style Quadrupel
Color,Amber to dark brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Caramel, dark sugar and malty sweet ﬂavors and aromas can be intense, but not cloying, and should complement fruitiness."
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Low to medium-low
Fermentation Characteristics,"Perception of alcohol can be strong. Complex fruity attributes reminiscent of any of raisins, dates, ﬁgs, grapes, or plums are often present and may be accompanied by wine-like attributes at low levels. Clove-like phenolic ﬂavor and aroma may be present at low to medium-low levels. Diacetyl and DMS should not be present."
Body,Full with creamy mouthfeel
Additional notes,"Head should be dense and mousse-like. Quadrupels are well attenuated and are characterized by an intense alcohol presence balanced by other ﬂavors, aromas and bitterness. They are well balanced with savoring/sipping-type drinkability. Oxidized character, if present in aged Quads, should be mild and pleasant."
Original Gravity (°Plato),1.092-1.12 (22-28 °Plato)
Apparent Extract/Final Gravity (°Plato),1.014-1.02 (3.6-5.1 °Plato)
Alcohol by Weight (Volume),8.00%-11.20% (10.00%-14.20%)
Bitterness (IBU),25-50
Color SRM (EBC),16-36(32-72 EBC)
Category,Belgian-Style Witbier
Color,Straw to pale
Clarity,Unﬁltered starch and yeast haze should be visible. Wits are traditionally bottle conditioned and served cloudy.
Perceived Malt Aroma & Flavor,Very low to low
Perceived Hop Aroma & Flavor,Hop aroma is not present to low. Hop flavor is not present.
Perceived Bitterness,"Low, from noble-type hops."
Fermentation Characteristics,Low to medium fruity esters are present. Mild phenolic spiciness and yeast ﬂavors may be present. Mild acidity is appropriate. Diacetyl should not be present.
Body,"Low to medium, with a degree of creaminess from wheat starch."
Additional notes,"Witbiers are brewed with malted barley, unmalted wheat and sometimes oats. Typically they are brewed with coriander and orange peel; modern versions sometimes feature other spices or citrus peel types. Very low to low level spice and citrus peel attributes may be present."
Original Gravity (°Plato),1.044-1.05 (11-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.008 (1.5-2.1 °Plato)
Alcohol by Weight (Volume),3.80%-4.40% (4.80%-5.60%)
Bitterness (IBU),10-17
Color SRM (EBC),2-4(4-8 EBC)
Category,Classic French & Belgian-Style Saison
Color,Straw to light amber
Clarity,Chill haze or slight yeast haze is acceptable
Perceived Malt Aroma & Flavor,"Low, but providing foundation for the overall balance."
Perceived Hop Aroma & Flavor,"Low to medium and characterized by any of floral, herbal, woody or other attributes typical of European-type hops are common."
Perceived Bitterness,"Medium-low to medium, but not assertive."
Fermentation Characteristics,"Fruity esters are medium to high. Low to medium-low level phenolics may be present, expressed as spice-like or other attributes. Phenolics should not be harsh or dominant and should be in harmony with ester profile and hops. Fruity and spicy black pepper attributes derived from Belgian yeast are common. Diacetyl should not be present. Low levels of Brettanomyces yeast-derived aroma and flavor attributes including any of slightly acidic, fruity, horsey, goaty, or leather-like, may be present but are not required. These beers are well attenuated and often bottle conditioned contributing some yeast character and high carbonation. Versions which exhibit sensory attributes typical of wood-aging are characterized as Specialty Saison."
Body,Very low to low
Original Gravity (°Plato),1.04-1.06 (10-14.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.004-1.008 (1-2 °Plato)
Alcohol by Weight (Volume),4.00%-5.40% (5.00%-6.80%)
Bitterness (IBU),20-38
Color SRM (EBC),3-7(6-14 EBC)
Category,Specialty Saison
Color,"Straw to dark brown; may take on hue of fruit(s), darker malts, or other ingredients"
Clarity,Chill haze or slight yeast haze is acceptable
Perceived Malt Aroma & Flavor,"Typically low to medium-low, but may vary in beers made with specialty malts."
Perceived Hop Aroma & Flavor,Low to medium-high
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"Fruity esters are medium to high. Diacetyl should not be present. Complex alcohols, herbs, spices, low Brettanomyces attributes including slightly acidic, fruity, horsey, goaty and leather-like, as well as clove-like and smoky phenolics may be present. Herb or spice ﬂavors, including notes of black pepper, may be present. A low level of sour acidic ﬂavor is acceptable when in balance with other components. Because these beers are often bottle conditioned, they may display some yeast character and high carbonation."
Body,Low to medium
Additional notes,"Specialty Saison represents a very wide family of beers which deviate substantially from Classic Saison in appearance and sensory outcomes. Such beers are brewed with dark malts, fruit(s), spice(s), or a wide range of ingredients. Ingredients including spices, herbs, ﬂowers, fruits, vegetables, fermentable sugars and carbohydrates, special yeasts of all types, wood-aging, etc. may contribute unique attributes to these beers. Earthy or cellar-like aromas are acceptable. Color, body, malt character, esters, alcohol level, and hop character should harmonize with attributes from special ingredients. Versions of Saison which exhibit sensory attributes typical of wood-aging are categorized as Specialty Saison. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients such as malts and grains, hop varieties, microflora, fruit, spices, or other ingredients, etc. or processing (wood-aging for example) which influence perceived sensory outcomes."
